Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Sonido Bestial","Bobby Cruz","Un Sueño Bailando Por La Salsa","Favorites tracks","Favorite","USDBB0601161","110939118"
"Que Pena","The Lebron Brothers","Loco por Ti","Favorites tracks","Favorite","USDHM1916202","117932821"
"Fuego En El 23","Sonora Ponceña","Fuego en el 23!","Favorites tracks","Favorite","USDBB0600223","110219758"
"El Día De Mi Suerte","Willie Colón","La Esencia De La Fania","Favorites tracks","Favorite","USDBB0600749","110215451"
"Triste Y Vacía","Hector Lavoe","A Man And His Music: La Voz","Favorites tracks","Favorite","USDBB0601224","110452132"
"Trucutu","Tommy Olivencia y Su Orquesta","Planté Bandera","Favorites tracks","Favorite","USDBB0609587","111130061"
"Juanito Alimaña","Hector Lavoe","Vigilante","Favorites tracks","Favorite","USDBB0600856","110448804"
"Agúzate","Ricardo ""Richie"" Ray","Salsa - A Musical History","Favorites tracks","Favorite","USDBB0600418","110287753"
"Pearls","Sade","Love Deluxe","Favorites tracks","Favorite","GBBBM9200024","149574914"
"Feel No Pain","Sade","Love Deluxe","Favorites tracks","Favorite","GBBBM9202021","149574909"
"Gorilla","Little Simz","NO THANK YOU","Favorites tracks","Favorite","QMFME2257574","264882642"
"Smalltown Boy","Bronski Beat","The Age of Consent","Favorites tracks","Favorite","GBAAP0200005","82529071"
"Chicha Roja","La Yegros","Magnetismo","Favorites tracks","Favorite","GBUQH1500090","218358038"
"El Vals del Obrero","Ska-P","Todo Ska-p","Favorites tracks","Favorite","ES5029601029","18896573"
"El Punto Final","Centavrvs","Somos Uno","Favorites tracks","Favorite","MX3741600918","458385425"
"Woman","Little Simz","Sometimes I Might Be Introvert","Favorites tracks","Favorite","GBWWP2106837","252603951"
"Point and Kill","Little Simz","Sometimes I Might Be Introvert","Favorites tracks","Favorite","GBWWP2106850","252603966"
"LA MuDANZA","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447071","409386877"
"DtMF","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447070","409386876"
"LO QUE LE PASÓ A HAWAii","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447068","409386874"
"CAFé CON RON","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447066","409386872"
"TURiSTA","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447065","409386871"
"BAILE INoLVIDABLE","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447057","409386863"
"VOY A LLeVARTE PA PR","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447056","409386862"
"NUEVAYoL","Bad Bunny","DeBÍ TiRAR MáS FOToS","Favorites tracks","Favorite","QMFMF2447055","409386861"
"Ain't No Rest for the Wicked","Cage The Elephant","Massive Hits!: Alternative","Favorites tracks","Favorite","GBGLM0700133","19573423"
"Gelernt","Käptn Peng","Das nullte Kapitel","Favorites tracks","Favorite","DEZ901700134","70818505"
"Der rote Pfau","Buntspecht","Großteils Kleinigkeiten","Favorites tracks","Favorite","ATDY91700010","248402413"
"Tango im Treibsand","Käptn Peng","Das nullte Kapitel","Favorites tracks","Favorite","DEZ901700128","70818499"
"20.000 Meilen","Chuckamuck","Chuckamuck","Favorites tracks","Favorite","DEEH61702524","241477214"
"Rotweinmund","Buntspecht","Draußen im Kopf","Favorites tracks","Favorite","ATDY91900011","248399262"
"99 Luftballons","Nena","99 Luftballons [2009]","Favorites tracks","Favorite","DET461000178","4857762"
"Esto No Para","Kase.O","El Círculo","Favorites tracks","Favorite","ES6081641202","418471004"
"No Copio","Crudo Means Raw","No Copio","Favorites tracks","Favorite","QZ5AB2007085","92776330"
"Riders on the Storm","The Doors","L.A. Woman","Favorites tracks","Favorite","USEE19900773","19373769"
"Crimson & Clover","Tommy James","Anthology","Favorites tracks","Favorite","GBAYE6800094","140126"
"People Are Strange","The Doors","Strange Days","Favorites tracks","Favorite","USEE19900740","341902"
"Dreams (2001 Remaster)","Fleetwood Mac","Rumours","Favorites tracks","Favorite","USWB10101368","68714461"
"California Dreamin'","The Mamas & The Papas","If You Can Believe Your Eyes & Ears","Favorites tracks","Favorite","USMC16532697","36379797"
"Yo Bailo Sola","Acid Coco","Mucho Gusto","Favorites tracks","Favorite","UKXN21905424","154370021"
"Caballo Viejo","Roberto Torres","Roberto Torres y su Charanga Vallenata, Vol. 2","Favorites tracks","Favorite","USLGD0910408","11136549"
"White Rabbit","Jefferson Airplane","Surrealistic Pillow","Favorites tracks","Favorite","USRC10301017","42723"
"My Baby Loves Me","Martha Reeves","The Definitive Collection","Favorites tracks","Favorite","USMO16600462","2176336"
"La femme d'argent","Air","Moon Safari","Favorites tracks","Favorite","FRS639700550","1477891"
"The Chain (2001 Remaster)","Fleetwood Mac","Rumours","Favorites tracks","Favorite","USWB10101373","68714466"
"Rhiannon","Fleetwood Mac","Fleetwood Mac","Favorites tracks","Favorite","USWB19900188","2767839"
"Live at The Forum, Los Angeles, CA (October 21-22, 1982) - The Chain (Live at the Forum, Los Angeles, CA October 21-22, 1982) [2016 Remaster]","Fleetwood Mac","Mirage (Deluxe Edition)","Favorites tracks","Favorite","USRH11602259","64733830"
"I Feel Love","Donna Summer","I Remember Yesterday","Favorites tracks","Favorite","USPR39402393","567499"
"Hot Stuff","Donna Summer","Bad Girls","Favorites tracks","Favorite","USPR37907202","93427542"
